Species,Gregariousness,Water.Column,Diet,Habitat,Trophic.Level,BodySize,Activity,Trophic.Level.Cat,BodySize.Cat
Cetoscarus ocellatus,2,2,Microphage,coral,2,90,Day,1,6
Chaetodermis penicilligerus,1,2,Omnivore,rock,2.8,31,Day,2,4
Chaetodipterus faber,2,2,Piscivore,coral,4.5,91,Day,5,6
Chaetodipterus zonatus,2,2,Omnivore,coral,3.3,65,Day,3,5
Chaetodon adiergastos,2,2,Corallivore,coral,3.5,20,Day,3,3
Chaetodon andamanensis,2,2,Corallivore,coral,3.3,15,Day,3,2
Chaetodon argentatus,1,2,Invertivore,coral,2.6,20,Day,2,3
Chaetodon assarius,2,2,Invertivore,coral,2.7,13,Day,2,2
Chaetodon aureofasciatus,2,2,Corallivore,coral,3.3,12.5,Day,3,2
Chaetodon auriga,2,2,Corallivore,coral,3.2,23,Day,3,3
Chaetodon auripes,2,2,Invertivore,rock,3.3,20,Day,3,3
Chaetodon austriacus,2,2,Corallivore,coral,3.3,13,Day,3,2
Chaetodon baronessa,2,2,Corallivore,coral,3.3,16,Day,3,3
Chaetodon bennetti,2,2,Corallivore,coral,3.3,20,Day,3,3
Chaetodon capistratus,2,2,Invertivore,coral,3,7.5,Day,2,2
Chaetodon citrinellus,2,2,Corallivore,coral,3.1,13,Day,3,2
Chaetodon collare,2,2,Corallivore,coral,3.4,18,Day,3,3
Chaetodon decussatus,2,2,Corallivore,coral,2.6,20,Day,2,3
Chaetodon dolosus,2,2,Invertivore,coral,2.8,15,Day,2,2
Chaetodon ephippium,2,2,Corallivore,coral,3.1,30,Day,3,3
Chaetodon falcula,2,2,Invertivore,coral,3.5,20,Day,3,3
Chaetodon fasciatus,2,2,Corallivore,coral,3.3,22,Day,3,3
Chaetodon flavirostris,2,2,Corallivore,coral,3,20,Day,2,3
Chaetodon guentheri,2,2,Corallivore,coral,2.8,22,Day,2,3
Chaetodon guttatissimus,2,2,Corallivore,coral,3.1,12,Day,3,2
Chaetodon humeralis,2,2,Invertivore,coral,2.7,25.4,Day,2,3
Chaetodon interruptus,2,2,Invertivore,coral,3.3,20,Day,3,3
Chaetodon kleinii,2,2,Corallivore,coral,3.1,15,Day,3,2
Chaetodon lineolatus,2,2,Corallivore,coral,3.3,30,Day,3,3
Chaetodon litus,2,2,Invertivore,coral,3.3,15,Day,3,2
Chaetodon lunula,2,2,Corallivore,coral,3.4,20,Day,3,3
Chaetodon lunulatus,2,2,Invertivore,coral,3.3,14,Day,3,2
Chaetodon madagaskariensis,2,2,Invertivore,coral,3.1,13,Day,3,2
Chaetodon marleyi,2,2,Invertivore,rock,2.7,20,Day,2,3
Chaetodon melannotus,2,2,Invertivore,coral,3.3,18,Day,3,3
Chaetodon mertensii,2,2,Invertivore,coral,3,12.5,Day,2,2
Chaetodon meyeri,2,2,Corallivore,coral,3.3,20,Day,3,3
Chaetodon miliaris,2,2,Planktivore,coral,3,13,Day,2,2
Chaetodon multicinctus,2,2,Corallivore,coral,3.3,12,Day,3,2
Chaetodon ocellatus,2,2,Corallivore,coral,3.2,20,Day,3,3
Chaetodon ocellicaudus,2,2,Invertivore,coral,3.3,15,Day,3,2
Chaetodon octofasciatus,2,2,Invertivore,coral,2.6,12,Day,2,2
Chaetodon ornatissimus,2,2,Corallivore,coral,3.3,20,Day,3,3
Chaetodon oxycephalus,2,2,Corallivore,coral,3.5,25,Day,3,3
Chaetodon paucifasciatus,2,2,Corallivore,coral,3.2,14,Day,3,2
Chaetodon pelewensis,2,2,Corallivore,coral,2.9,12.5,Day,2,2
Chaetodon plebeius,2,2,Corallivore,coral,3.3,15,Day,3,2
Chaetodon punctatofasciatus,2,2,Invertivore,coral,3.3,12,Day,3,2
Chaetodon quadrimaculatus,2,2,Corallivore,coral,3.3,16,Day,3,3
Chaetodon rafflesii,2,2,Corallivore,coral,3.3,18,Day,3,3
Chaetodon rainfordi,2,2,Corallivore,coral,2.8,15,Day,2,2
Chaetodon reticulatus,2,2,Corallivore,coral,2.6,18,Day,2,3
Chaetodon sedentarius,2,2,Invertivore,coral,2.8,15,Day,2,2
Chaetodon semeion,2,2,Invertivore,coral,2.7,26,Day,2,3
Chaetodon semilarvatus,2,2,Invertivore,coral,3.5,23,Day,3,3
Chaetodon speculum,2,2,Corallivore,coral,3.6,18,Day,4,3
Chaetodon striatus,2,2,Invertivore,coral,3.2,16,Day,3,3
Chaetodon triangulum,2,2,Corallivore,coral,3.3,16,Day,3,3
Chaetodon trichrous,2,2,Invertivore,coral,3.2,12,Day,3,2
Chaetodon tricinctus,2,2,Invertivore,coral,3.3,15,Day,3,2
Chaetodon trifascialis,2,2,Corallivore,coral,3.3,18,Day,3,3
Chaetodon trifasciatus,2,2,Corallivore,coral,3.3,15,Day,3,2
Chaetodon ulietensis,2,2,Invertivore,coral,3.3,15,Day,3,2
Chaetodon unimaculatus,2,2,Invertivore,coral,3.1,20,Day,3,3
Chaetodon vagabundus,2,2,Corallivore,coral,3.3,23,Day,3,3
Chaetodon wiebeli,1,1,Invertivore,coral,2.7,19,Day,2,3
Chaetodon xanthocephalus,2,2,Invertivore,coral,3,20,Day,2,3
Chaetodon xanthurus,2,2,Invertivore,coral,2.8,14,Day,2,2
Chaetodon zanzibarensis,2,2,Corallivore,coral,3.3,12,Day,3,2
Chaetodontoplus conspicillatus,1,2,Invertivore,coral,2.6,25,Day,2,3
Chaetodontoplus duboulayi,1,2,Invertivore,coral,2.7,28,Day,2,3
Chaetodontoplus meredithi,1,2,Invertivore,coral,3,25,Day,2,3
Chaetodontoplus mesoleucus,1,2,Invertivore,coral,2.7,18,Day,2,3
Chaetodontoplus personifer,1,2,Invertivore,coral,2.7,35,Day,2,4
Chaetodontoplus septentrionalis,1,2,Invertivore,rock,2.7,22,Day,2,3
Chanos chanos,2,4,Grazer,water column,2,180,Day,1,6
Cheilinus abudjubbe,1,1,Invertivore,coral,3.5,22,Day,3,3
Cheilinus chlorourus,1,2,Invertivore,coral,3.4,45,Day,3,4
Cheilinus fasciatus,1,2,Invertivore,coral,3.4,40,Day,3,4
Cheilinus lunulatus,1,2,Invertivore,coral,3.6,50,Day,4,4
Cheilinus oxycephalus,1,2,Invertivore,coral,3.3,17,Day,3,3
Cheilinus trilobatus,1,2,Invertivore,coral,3.5,45,Day,3,4
Cheilinus undulatus,1,2,Invertivore,coral,4,229,Day,4,6
Cheilio inermis,1,2,Invertivore,coral,4,50,Day,4,4
Cheilodactylus fasciatus,1,2,Invertivore,rock,3.4,30,Day,3,3
Cheilodactylus pixi,1,2,Invertivore,rock,3.2,18,Day,3,3
Cheilodipterus arabicus,1,3,Planktivore,coral,3.5,18,Night,3,3
Cheilodipterus artus,1,3,Planktivore,coral,4.1,18.7,Night,5,3
Cheilodipterus intermedius,1,3,Planktivore,coral,4.1,20,Night,5,3
Cheilodipterus isostigmus,1,3,Planktivore,coral,4.2,11,Night,5,2
Cheilodipterus lachneri,1,1,Planktivore,coral,3.9,12,Night,4,2
Cheilodipterus macrodon,1,3,Planktivore,coral,4,25,Night,4,3
Cheilodipterus nigrotaeniatus,1,3,Planktivore,coral,3.7,10,Night,4,2
Cheilodipterus parazonatus,1,3,Invertivore,coral,3.829677949,16.52857143,Night,4,3
Cheilodipterus quinquelineatus,1,3,Planktivore,coral,3.8,13,Night,4,2
Cheilodipterus singapurensis,1,1,Planktivore,coral,4.1,20,Night,5,3
Cheiloprion labiatus,2,2,Corallivore,coral,3.3,6,Day,3,1
Chelidonichthys capensis,1,1,Piscivore,sand,4.2,75,Night,5,5
Chelmon marginalis,1,2,Corallivore,coral,3.5,18,Day,3,3
Chelmon rostratus,1,2,Invertivore,coral,3.5,20,Day,3,3
Chelmonops curiosus,1,2,Invertivore,rock,3.3,26,Day,3,3
Chelmonops truncatus,1,2,Invertivore,rock,2.8,22,Day,2,3
Chelon labrosus,3,3,Omnivore,sand,2.6,75,Day,2,5
Chilomycterus antennatus,1,2,Invertivore,coral,3.4,38,Day,3,4
Chilomycterus reticulatus,1,2,Invertivore,coral,3.5,55,Day,3,5
Chirodactylus brachydactylus,1,2,Invertivore,rock,3.5,40,Day,3,4
Chirolophis ascanii,1,1,Invertivore,rock,3.2,25,Night,3,3
Chironemus marmoratus,1,1,Invertivore,rock,3.5,40,Day,3,4
Chironemus microlepis,1,1,Grazer,rock,3.455555556,40,Day,3,4
Chlorurus atrilunula,2,2,Microphage,coral,2,30,Day,1,3
Chlorurus bleekeri,2,2,Microphage,coral,2,49,Day,1,4
Chlorurus bowersi,1,1,Microphage,coral,2,40,Day,1,4
Chlorurus capistratoides,2,2,Microphage,coral,2,40,Day,1,4
Chlorurus frontalis,2,2,Microphage,coral,2,50,Day,1,4
Chlorurus gibbus,2,2,Microphage,coral,2,70,Day,1,5
Chlorurus japanensis,2,2,Microphage,coral,2,31,Day,1,4
Chlorurus microrhinos,2,2,Microphage,coral,2,70,Day,1,5
Chlorurus rhakoura,2,2,Microphage,coral,2,44.2,Day,1,4
Chlorurus sordidus,2,2,Microphage,coral,2,40,Day,1,4
Chlorurus spilurus,2,2,Microphage,coral,3.130447761,50,Day,3,4
Chlorurus strongylocephalus,2,2,Microphage,coral,2,70,Day,1,5
Choerodon anchorago,1,2,Invertivore,coral,3.9,38,Day,4,4
Choerodon azurio,1,2,Invertivore,rock,3.5,25.6,Day,3,3
Choerodon cauteroma,1,2,Invertivore,coral,3.5,36,Day,3,4
Choerodon cephalotes,1,2,Invertivore,rock,3.4,38,Day,3,4
Choerodon cyanodus,1,2,Invertivore,coral,3.6,70,Day,4,5
Choerodon fasciatus,1,2,Invertivore,coral,3.4,30,Day,3,3
Choerodon graphicus,1,2,Invertivore,coral,3.5,51.5,Day,3,5
Choerodon jordani,1,2,Invertivore,rock,3.5,17,Day,3,3
Choerodon monostigma,1,2,Invertivore,sand,3.508333333,46.91818182,Day,4,4
Choerodon rubescens,1,2,Invertivore,rock,3.6,90,Day,4,6
Choerodon schoenleinii,1,2,Invertivore,coral,3.4,100,Day,3,6
Choerodon vitta,1,2,Invertivore,coral,3.4,20,Day,3,3
Cromileptes altivelis,1,2,Piscivore,coral,4,70,Day,4,5
Chromis abrupta,3,2,Planktivore,coral,3,5.4,Day,2,1
Chromis acares,3,2,Planktivore,coral,3,4,Day,2,1
Chromis agilis,3,2,Planktivore,coral,3,7.5,Day,2,2
Chromis alpha,3,2,Planktivore,coral,3,8.5,Day,2,2
Chromis alta,3,2,Planktivore,coral,3.4,13,Day,3,2
Chromis amboinensis,2,2,Planktivore,coral,2.7,9,Day,2,2
Chromis analis,3,2,Planktivore,coral,3,17,Day,2,3
Chromis atrilobata,3,2,Planktivore,coral,3.4,13,Day,3,2
Chromis atripectoralis,3,2,Planktivore,coral,3.1,12,Day,3,2
Chromis atripes,2,2,Planktivore,coral,2.6,9,Day,2,2
Chromis bami,3,2,Planktivore,coral,3,5.9,Day,2,1
Chromis caudalis,3,2,Planktivore,coral,3,7.5,Day,2,2
Chromis chromis,3,2,Planktivore,rock,3,25,Day,2,3
Chromis chrysura,3,2,Planktivore,coral,3,14,Day,2,2
Chromis cinerascens,3,2,Planktivore,coral,2.7,13,Day,2,2
Chromis crusma,3,2,Planktivore,coral,3,14,Day,2,2
Chromis cyanea,2,2,Planktivore,coral,3.1,15,Day,3,2
Chromis dimidiata,2,2,Planktivore,coral,2.7,9,Day,2,2
Chromis dispilus,3,2,Planktivore,rock,3,21,Day,2,3
Chromis elerae,3,2,Planktivore,coral,2.7,7,Day,2,1
Chromis flavaxilla,3,2,Planktivore,coral,3.4,7.2,Day,3,2
Chromis flavipectoralis,3,2,Planktivore,coral,3,8,Day,2,2
Chromis flavomaculata,3,2,Planktivore,coral,3,16,Day,2,3
Chromis fumea,3,2,Planktivore,coral,3.4,10,Day,3,2
Chromis hanui,3,2,Planktivore,coral,3,6,Day,2,1
Chromis hypsilepis,3,2,Planktivore,coral,2.7,16,Day,2,3
Chromis insolata,3,2,Planktivore,coral,3.4,16,Day,3,3
Chromis iomelas,2,2,Planktivore,coral,2.7,8,Day,2,2
Chromis klunzingeri,3,2,Planktivore,rock,2.7,12,Day,2,2
Chromis lepidolepis,2,2,Planktivore,coral,3.4,9,Day,3,2
Chromis limbata,3,2,Planktivore,rock,3.4,12,Day,3,2
Chromis limbaughi,1,1,Planktivore,rock,3.4,10.5,Day,3,2
Chromis lineata,3,2,Planktivore,coral,3,7,Day,2,1
Chromis margaritifer,3,2,Planktivore,coral,3,9,Day,2,2
Chromis multilineata,3,2,Planktivore,coral,3,20,Day,2,3
Chromis nigrura,3,2,Planktivore,coral,3.4,6,Day,3,1
Chromis nitida,3,2,Planktivore,coral,2.7,7,Day,2,1
Chromis notata,3,2,Planktivore,coral,3.4,17,Day,3,3
Chromis opercularis,3,2,Planktivore,coral,2.7,16,Day,2,3
Chromis ovalis,3,2,Planktivore,coral,3.1,15,Day,3,2
Chromis pamae,3,2,Planktivore,coral,3.4,10.4,Day,3,2
Chromis pelloura,1,1,Planktivore,coral,2.72,14,Day,2,2
Chromis pembae,3,2,Planktivore,coral,2.7,13,Day,2,2
Chromis punctipinnis,3,2,Planktivore,rock,2.7,25,Day,2,3
Chromis randalli,3,2,Planktivore,coral,3,13,Day,2,2
Chromis retrofasciata,2,2,Planktivore,coral,2.7,4,Day,2,1
Chromis scotochiloptera,3,2,Planktivore,coral,3.4,16,Day,3,3
Chromis scotti,3,2,Planktivore,coral,3.4,10,Day,3,2
Chromis ternatensis,3,2,Planktivore,coral,3.4,10,Day,3,2
Chromis vanderbilti,2,2,Planktivore,coral,3.2,4.5,Day,3,1
Chromis viridis,3,2,Planktivore,coral,2.5,8,Day,1,2
Chromis weberi,3,2,Planktivore,coral,3.4,13.5,Day,3,2
Chromis westaustralis,3,2,Planktivore,rock,2.7,8.5,Day,2,2
Chromis xanthochira,3,2,Planktivore,coral,2.7,14,Day,2,2
Chromis xanthura,3,2,Planktivore,coral,3.4,15,Day,3,2
Chromis xutha,3,2,Planktivore,coral,3,7,Day,2,1
Chrysiptera biocellata,2,2,Grazer,coral,2,12.5,Day,1,2
Chrysiptera brownriggii,2,2,Grazer,coral,2.7,8,Day,2,2
Chrysiptera cyanea,2,2,Omnivore,coral,2.5,8.5,Day,1,2
Chrysiptera flavipinnis,2,2,Omnivore,coral,2.7,8,Day,2,2
Chrysiptera galba,2,2,Grazer,coral,2.7,7,Day,2,1
Chrysiptera glauca,2,2,Omnivore,coral,2.4,10,Day,1,2
Chrysiptera hemicyanea,2,2,Planktivore,coral,2.653981894,7.9375,Day,2,2
Chrysiptera notialis,2,2,Omnivore,coral,2.7,9,Day,2,2
Chrysiptera oxycephala,1,1,Planktivore,coral,2.73,9,Day,2,2
Chrysiptera parasema,2,2,Omnivore,coral,3.4,7,Day,3,1
Chrysiptera rapanui,2,2,Omnivore,coral,2.7,5.5,Day,2,1
Chrysiptera rex,2,2,Omnivore,coral,2.5,7,Day,1,1
Chrysiptera rollandi,2,2,Omnivore,coral,2.7,7.5,Day,2,2
Chrysiptera springeri,1,1,Planktivore,coral,2.68,5.5,Day,2,1
Chrysiptera starcki,2,2,Omnivore,coral,2.8,7,Day,2,1
Chrysiptera talboti,2,2,Omnivore,coral,2.8,6,Day,2,1
Chrysiptera taupou,2,2,Omnivore,coral,2.7,8,Day,2,2
Chrysiptera traceyi,1,1,Planktivore,coral,2.68,5,Day,2,1
Chrysiptera tricincta,2,2,Omnivore,coral,2.7,6,Day,2,1
Chrysiptera unimaculata,2,2,Grazer,coral,2.1,10,Day,1,2
Chrysoblephus laticeps,1,2,Invertivore,rock,3.8,50,Day,4,4
Cirrhilabrus beauperryi,1,1,Planktivore,coral,3.4,10,Day,3,2
Cirrhilabrus cyanopleura,2,2,Invertivore,coral,3.4,15,Day,3,2
Cirrhilabrus exquisitus,2,2,Invertivore,coral,3.4,12,Day,3,2
Cirrhilabrus flavidorsalis,1,1,Planktivore,coral,3.3,6.5,Day,3,1
Cirrhilabrus katherinae,2,2,Invertivore,coral,3.3,7.1,Day,3,2
Cirrhilabrus laboutei,2,2,Invertivore,coral,3.4,12,Day,3,2
Cirrhilabrus lineatus,2,2,Invertivore,coral,3.4,12,Day,3,2
Cirrhilabrus punctatus,2,2,Invertivore,coral,3.4,13,Day,3,2
Cirrhilabrus randalli,2,3,Planktivore,coral,3.381818182,11.2,Day,3,2
Cirrhilabrus scottorum,2,2,Invertivore,coral,3.4,13,Day,3,2
Cirrhilabrus solorensis,2,2,Invertivore,coral,3.4,11,Day,3,2
Cirrhilabrus temminckii,2,2,Invertivore,coral,3.4,9.9,Day,3,2
Cirrhilabrus walindi,2,2,Invertivore,coral,3.3,7,Day,3,1
Cirrhitichthys aprinus,1,1,Invertivore,coral,3.5,13,Day,3,2
Cirrhitichthys falco,1,1,Invertivore,coral,4,7,Day,4,1
Cirrhitichthys oxycephalus,1,1,Invertivore,coral,4,10,Day,4,2
Cirrhitops fasciatus,1,1,Invertivore,coral,3.6,12.7,Day,4,2
Cirrhitops hubbardi,1,1,Invertivore,coral,4,25,Day,4,3
Cirrhitus pinnulatus,1,1,Invertivore,coral,3.6,30,Day,4,3
Cirrhitus rivulatus,1,1,Invertivore,coral,4,60,Day,4,5
Cirripectes alboapicalis,1,1,Grazer,rock,2,12.3,Day,1,2
Cirripectes alleni,1,1,Omnivore,coral,2,6.5,Day,1,1
Cirripectes auritus,1,1,Grazer,coral,2,9,Day,1,2
Cirripectes castaneus,1,1,Grazer,coral,2,12.5,Day,1,2
Cirripectes chelomatus,1,1,Grazer,coral,2,12,Day,1,2
Cirripectes filamentosus,1,1,Grazer,coral,2,9,Day,1,2
Cirripectes fuscoguttatus,1,1,Grazer,coral,2,15,Day,1,2
Cirripectes hutchinsi,1,1,Grazer,rock,2,10.6,Day,1,2
Cirripectes polyzona,1,1,Grazer,coral,2.8,13,Day,2,2
Cirripectes springeri,1,1,Grazer,coral,2,10,Day,1,2
Cirripectes stigmaticus,1,1,Grazer,coral,2,13,Day,1,2
Cirripectes vanderbilti,1,1,Grazer,coral,2,10,Day,1,2
Cirripectes variolosus,1,1,Grazer,coral,2,10,Day,1,2
Citharichthys stigmaeus,1,1,Invertivore,sand,3.4,17,Night,3,3
Cleidopus gloriamaris,2,2,Invertivore,rock,3.6,28,Night,4,3
Clepticus parrae,3,2,Planktivore,coral,3.3,30,Day,3,3
Clinus superciliosus,1,1,Invertivore,rock,3.4,30,Day,3,3
Clinus venustris,1,1,Invertivore,rock,3.3,12,Day,3,2
Cnidoglanis macrocephalus,1,2,Invertivore,rock,2.8,91,Night,2,6
Cochleoceps bicolor,1,1,Invertivore,rock,3.3,7,Day,3,1
Cochleoceps orientalis,1,1,Invertivore,rock,3.2,5.5,Day,3,1
Conger verreauxi,1,1,Piscivore,rock,4.2,200,Day,5,6
Congiopodus peruvianus,1,1,Invertivore,rock,3.3,27.2,Day,3,3
Coradion altivelis,1,2,Invertivore,rock,2.7,18,Day,2,3
Coradion chrysozonus,1,2,Invertivore,coral,2.8,15,Day,2,2
Coris auricularis,2,2,Invertivore,rock,3.4,40,Day,3,4
Coris aurilineata,1,2,Invertivore,rock,3.3,14,Day,3,2
Coris aygula,2,2,Invertivore,coral,3.4,120,Day,3,6
Coris batuensis,1,2,Invertivore,coral,3.4,17,Day,3,3
Coris bulbifrons,1,2,Invertivore,coral,3.3,95,Day,3,6
Coris caudimacula,1,2,Invertivore,coral,3.4,20,Day,3,3
Coris centralis,1,2,Invertivore,coral,3.2,9.2,Day,3,2
Coris cuvieri,1,2,Invertivore,coral,3.4,38,Day,3,4
Coris debueni,1,2,Invertivore,coral,3.4,22.5,Day,3,3
Coris dorsomacula,1,2,Invertivore,rock,3.3,20,Day,3,3
Coris formosa,1,2,Invertivore,coral,3.3,60,Day,3,5
Coris gaimard,1,2,Invertivore,coral,3.5,40,Day,3,4
Coris hewetti,1,2,Invertivore,coral,3.3,13.9,Day,3,2
Coris julis,2,2,Invertivore,rock,3.2,30,Day,3,3
Coris picta,2,2,Invertivore,coral,3.3,25,Day,3,3
Coris pictoides,1,2,Invertivore,coral,3.3,15,Day,3,2
Coris roseoviridis,1,2,Invertivore,coral,3.3,19.8,Day,3,3
Coris sandeyeri,2,2,Invertivore,rock,3.5,25,Day,3,3
Coris venusta,1,2,Invertivore,coral,3.3,19.3,Day,3,3
Coryphopterus dicrus,1,1,Omnivore,sand,2.7,5,Day,2,1
Coryphopterus eidolon,1,1,Omnivore,sand,2,6,Day,1,1
Coryphopterus glaucofraenum,1,1,Omnivore,sand,2.7,8,Day,2,2
Coryphopterus hyalinus,1,1,Omnivore,sand,2.9,2.5,Day,2,1
Coryphopterus lipernes,1,1,Grazer,sand,2.9,3,Day,2,1
Coryphopterus personatus,1,1,Omnivore,sand,2.7,4,Day,2,1
Coryphopterus urospilus,1,1,Omnivore,sand,3.5,6.5,Day,3,1
Corythoichthys conspicillatus,1,1,Invertivore,coral,3.373076923,25,Day,3,3
Corythoichthys haematopterus,1,1,Planktivore,coral,3.1,19.8,Day,3,3
Corythoichthys intestinalis,1,1,Invertivore,coral,3.2,16,Day,3,3
Corythoichthys ocellatus,1,1,Planktivore,coral,3.6,11,Night,4,2
Corythoichthys schultzi,1,1,Planktivore,coral,3.8,16,Day,4,3
Cratinus agassizii,1,2,Piscivore,rock,4.2,60,Day,5,5
Cremnochorites capensis,1,1,Invertivore,rock,3.3,8,Day,3,2
Crenimugil crenilabis,3,3,Grazer,sand,2.3,60,Day,1,5
Cristiceps aurantiacus,1,1,Invertivore,rock,4,22,Day,4,3
Crocodilichthys gracilis,1,1,Invertivore,rock,2.72,6.4,Day,2,1
Crossosalarias macrospilus,1,1,Grazer,coral,2,10,Day,1,2
Cryptichthys jojettae,1,1,Invertivore,rock,3.2,6,Day,3,1
Cryptocentrus caeruleomaculatus,1,1,Invertivore,sand,3,10,Day,2,2
Cryptocentrus caeruleopunctatus,1,1,Invertivore,sand,3.4,13,Day,3,2
Cryptocentrus cinctus,1,1,Grazer,sand,3.4,12,Day,3,2
Cryptocentrus cryptocentrus,1,1,Grazer,sand,3.4,13,Day,3,2
Cryptocentrus fasciatus,1,1,Invertivore,sand,3.4,14,Day,3,2
Cryptocentrus strigilliceps,1,1,Invertivore,sand,3.3,10,Day,3,2
Ctenochaetus binotatus,2,2,Grazer,coral,2,22,Day,1,3
Ctenochaetus cyanocheilus,2,2,Grazer,coral,2.1,16,Day,1,3
Ctenochaetus flavicauda,2,2,Grazer,coral,2.2,11.8,Day,1,2
Ctenochaetus hawaiiensis,2,2,Grazer,coral,2,25,Day,1,3
Ctenochaetus marginatus,2,2,Grazer,coral,2,27,Day,1,3
Ctenochaetus striatus,2,2,Grazer,coral,2,26,Day,1,3
Ctenochaetus tominiensis,2,2,Grazer,coral,2.1,16,Day,1,3
Ctenochaetus truncatus,2,2,Grazer,coral,2.1,16,Day,1,3
Ctenogobiops aurocingulus,1,1,Grazer,sand,3.4,8.5,Day,3,2
Ctenogobiops crocineus,1,1,Invertivore,sand,3.5,10,Day,3,2
Ctenogobiops feroculus,1,1,Invertivore,sand,3.3,8,Day,3,2
Ctenogobiops maculosus,1,1,Invertivore,sand,3.5,4.4,Day,3,1
Ctenogobiops mitodes,1,1,Invertivore,sand,3.349710145,7.6,Day,3,2
Ctenogobiops pomastictus,1,1,Invertivore,sand,3.3,8,Day,3,2
Ctenogobiops tangaroai,1,1,Invertivore,sand,3.349710145,7.6,Day,3,2
Ctenolabrus rupestris,1,2,Invertivore,rock,3.4,18,Day,3,3
Cybiosarda elegans,3,4,Piscivore,water column,4,45,Day,4,4
Cyclichthys orbicularis,1,2,Invertivore,coral,3.6,30,Day,4,3
Cymatogaster aggregata,3,3,Invertivore,rock,3,20.3,Day,2,3
Cymbacephalus beauforti,1,1,Piscivore,sand,4.5,50,Night,5,4
Cypho purpurascens,1,1,Invertivore,coral,3.6,7.5,Night,4,2
Cypho zaps,1,1,Invertivore,coral,3.4,6,Day,3,1
Cyprinocirrhites polyactis,1,1,Invertivore,coral,3.2,15,Day,3,2
Dactylophora nigricans,1,2,Invertivore,rock,2.9,120,Day,2,6
Dascyllus albisella,2,2,Planktivore,coral,3.1,14,Day,3,2
Dascyllus aruanus,3,2,Omnivore,coral,2.5,10,Day,1,2
Dascyllus carneus,3,2,Planktivore,coral,2.7,7,Day,2,1
Dascyllus flavicaudus,3,2,Planktivore,coral,2.8,12,Day,2,2
Dascyllus marginatus,1,1,Planktivore,coral,2.69,6,Day,2,1
Dascyllus melanurus,2,2,Planktivore,coral,3,8,Day,2,2
Dascyllus reticulatus,3,2,Planktivore,coral,3.1,9,Day,3,2
Dascyllus strasburgi,3,2,Planktivore,coral,2.8,9,Day,2,2
Dascyllus trimaculatus,3,2,Planktivore,coral,2.8,11,Day,2,2
Decapterus koheru,3,4,Planktivore,water column,3.1,48,Day,3,4
Decapterus macarellus,3,4,Piscivore,water column,3.4,46,Day,3,4
Decapterus muroadsi,3,4,Planktivore,water column,3.4,50,Day,3,4
Decapterus punctatus,1,1,Piscivore,sand,4.43,32,Day,5,4
Dellichthys morelandi,1,1,Invertivore,sand,3.4,7,Day,3,1
Dendrochirus barberi,1,1,Piscivore,coral,4.2,16.5,Day,5,3
Dendrochirus zebra,1,1,Invertivore,coral,3.6,25,Day,4,3
Dentex dentex,1,2,Piscivore,rock,4.5,100,Day,5,6
Dermatolepis dermatolepis,1,2,Piscivore,rock,4.5,100,Day,5,6
Diademichthys lineatus,1,1,Invertivore,coral,3.1,5,Day,3,1
Diagramma labiosum,1,2,Invertivore,coral,3.6,90,Night,4,6
Diagramma melanacrum,1,1,Piscivore,coral,3.6,45,Day,4,4
Dicentrarchus labrax,2,4,Piscivore,water column,3.8,103,Day,4,6
Dicentrarchus punctatus,3,3,Piscivore,sand,3.9,70,Day,4,5
Dichistius capensis,3,4,Invertivore,water column,3.3,80,Day,3,5
Dicotylichthys punctulatus,1,2,Invertivore,rock,3.5,43,Day,3,4
Dinolestes lewini,3,3,Piscivore,rock,3.6,90,Day,4,6
Diodon holocanthus,1,2,Invertivore,coral,3.3,50,Day,3,4
Diodon hystrix,1,2,Invertivore,coral,3.4,91,Day,3,6
Diodon liturosus,1,2,Invertivore,coral,3.4,65,Day,3,5
Diodon nicthemerus,1,2,Invertivore,rock,3.3,40,Day,3,4
Diplectrum bivittatum,1,1,Piscivore,sand,3.7,25,Day,4,3
Diplodus annularis,2,2,Invertivore,rock,3.4,35,Day,3,4
Diplodus capensis,2,2,Invertivore,rock,2.7,45,Day,2,4
Diplodus puntazzo,2,2,Omnivore,rock,2.9,60,Day,2,5
Diplodus vulgaris,2,2,Invertivore,rock,3.2,45,Day,3,4
Diplogrammus goramensis,1,1,Invertivore,sand,3.5,10,Night,3,2
Diplogrammus xenicus,1,1,Invertivore,sand,3.7,8,Day,4,2
Diploprion bifasciatum,1,2,Invertivore,sand,4,25,Day,4,3
Diproctacanthus xanthurus,1,2,Invertivore,coral,3.3,10,Day,3,2
Dipterygonotus balteatus,3,4,Planktivore,water column,3.394444444,31.56617647,Day,3,4
Dischistodus chrysopoecilus,2,2,Grazer,coral,2,15,Day,1,2
Dischistodus darwiniensis,2,2,Grazer,coral,2.1,10.3,Day,1,2
Dischistodus melanotus,2,2,Grazer,coral,2,16,Day,1,3
Dischistodus perspicillatus,2,2,Grazer,coral,2,18,Day,1,3
Dischistodus prosopotaenia,2,2,Grazer,coral,2,17,Day,1,3
Dischistodus pseudochrysopoecilus,2,2,Grazer,coral,2,18,Day,1,3
Doratonotus megalepis,1,2,Invertivore,coral,3.3,9.4,Day,3,2
Dotalabrus alleni,1,2,Invertivore,rock,3.3,10,Day,3,2
Dotalabrus aurantiacus,1,2,Invertivore,rock,3.4,15,Day,3,2
